questionText,options[0],options[1],options[2],options[3],correctAnswer
The___________ campaign was a counterinsurgency operation which was carried out by Ba’athist Iraq from February to September 1988 during the Iraqi–Kurdish conflict at the end of the Iran–Iraq War.,A. Anfal,B. Ahzab,C. Darul Badar,D. Boko Haram,A. Anfal
The book “Islamic bomb” Is written by: _____________?,A. Steve Weissman,B. Herbert Krosney,C. Both are Authors,D. None of These,C. Both are Authors
Who was the first Woman UN ambassador of Pakistan?,A. Tehmina Janjua,B. Maleeha Lodhi,C. Hina Rabbani Khar,D. Begum Ra’ana Liaquat Ali Khan,B. Maleeha Lodhi
"The Indus River originates in China, near:",A. Tianchi Lake,B. Tibetan Lake,C. Lake Manasarovar,D. None of these,C. Lake Manasarovar
Friendship Gate is located at _______________?,A. Tafitan Border,B. Zahidan Border,C. Chaman Border,D. Tokrkham Border,D. Tokrkham Border
Wakhan Corridor connects: _______________?,A. Pakistan and Tajikistan,B. Afghanistan and China,C. South Asia and Central Asia,D. All of Above,B. Afghanistan and China
Wakhan Corridor is in which province of Afghanistan?,A. Badakshian,B. Halmand,C. Kabul,D. Nooristan,A. Badakshian
What is the approximate height of Mount Vinson?,"A. 4,892 meters","B. 5,489 meters","C. 6,812 meters","D. 7,134 meters","A. 4,892 meters"
Wakhan Corridor scratches towards _________________?,A. West,B. East,C. South,D. North,B. East
Pakistan Gate is the border between Pakistan and ____________?,A. Afghanistan,B. India,C. Iran,D. China,C. Iran
Which continent was historically referred to as the ‘Dark Continent’?,A. Europe,B. Africa,C. Asia,D. Australia,B. Africa
Who is the author of the Harry Potter book series?,A. J.R.R. Tolkien,B. George R.R. Martin,C. J.K. Rowling,D. C.S. Lewis,C. J.K. Rowling
What famous historic event is commemorated on July 4th in the United States?,A. Thanksgiving,B. Independence Day,C. Veterans Day,D. Labor Day,B. Independence Day
Continent Australia is also known as _____________?,A. Oceania,B. Godwin Austin,C. Pecific,D. Austria,A. Oceania
The last Shah of Iran was _____________??,A. Mohammad Reza Shah Pahlavi,B. Muhammad Ali Shah,C. Ahmed Shah,D.,A. Mohammad Reza Shah Pahlavi
Zymometer measures _______________?,A. fermentation,B. refractive index,C. humidity,D. None of These,A. fermentation
Philately is the study of _____________?,A. stamp collecting,B. languages,C. soils,D. None of These,A. stamp collecting
Pisciculture is the study of ______________?,A. fruits,B. mind,C. fish,D. None of these,C. fish
Telepathy is the study of ____________?,A. minds,B. emotions,"C. communication between two minds at a distance with the help of emotions, thoughts and feelings",D. None of these,"C. communication between two minds at a distance with the help of emotions, thoughts and feelings"
National Flower and National Emblem of Japan is ______________?,A. Chrysanthemum,B. Corn Flower,C. Shamrock,D. None of these,A. Chrysanthemum
Official Books of Germany and China are called ______________?,A. White Books,B. Grey Books,C. Green Books,D. None of these,A. White Books
Official Books of Japan and Belgium are called ___________?,A. White Books,B. Grey Books,C. Orange Books,D. None of these,B. Grey Books
National Flower of Germany is ______________?,A. Maple Leaf,B. Lotus,C. Corn Flower,D. None of these,C. Corn Flower
Official Book of Netherlands is called ____________?,A. White Book,B. Grey Book,C. Orange Book,D. None of these,C. Orange Book
Official Book of Italy is called __________?,A. Blue Book,B. Green Book,C. Grey Book,D. None of these,B. Green Book
Official Book of UK is called _____________?,A. Orange Book,B. Green Book,C. Blue Book,D. None of these,C. Blue Book
Cryptography is study of _______________?,A. Secret Writing,B. Skulls,C. Cells,D. None of these,A. Secret Writing
On which river Diamer Bhasha dam is being constructed?,A. Chenab,B. Indus,C. Jhelum,D. Ravi,B. Indus
Which Pakistani city is known as the “City of Saints”?,A. Lahore,B. Multan,C. Karachi,D. Faisalabad,B. Multan
Which Pakistani city hosts the annual Cholistan Desert Rally?,A. Bahawalpur,B. Multan,C. Sukkur,D. Sahiwal,A. Bahawalpur
Which is the first digital census held in Pakistan?,A. 2017,B. 2020,C. 2023,D. 2022,C. 2023
PNSC STAND FOR?,A. Pakistan Native Shipping cooperation,B. Pakistan Navy Shipping corporation,C. Pakistan National Shipping Corporation,D. Pakistan Northern Southern cooperation,C. Pakistan National Shipping Corporation
What is the Capital of Myanmar (Burma) ?,A. Yangon,B. Mandalay,C. Sagaing,D. Nypyidaw,D. Nypyidaw
The theme for International Women’s Day 2025 is ______________?,A. Inspire Inclusion,B. Digital All: Innovation and Technology for Gender equality,C. For ALL Women and Girls: Rights. Equality. Empowerment,D. None of These,C. For ALL Women and Girls: Rights. Equality. Empowerment
International Women’s Day is celebrated each year on_____________?,A. 12 March,B. 16 March,C. 6 March,D. 8 March,D. 8 March
"In Pakistan, banks deduct Zakat on the  ________ each year.",A. 1st Rajab,B. 15 Shaban,C. 1st Ramzan,D. 2nd Zilhajj,C. 1st Ramzan
When did Pakistan join SEATO?,A. 1953,B. 1954,C. 1956,D. None of these,B. 1954
Who is the author of “Diplomatic Footprints”?,A. G.W. Chaudhry,B. Aizaz Ahmad Chaudhry,C. Shuja Nawaz,D. None of these,B. Aizaz Ahmad Chaudhry
Afghanistan – Pakistan Transit Trade Agreement (APTTA) was signed on:,"A. 28 July, 2008","B. 28th July, 2009","C. 28th July, 2010",D. None of these,"C. 28th July, 2010"
Gwadar Port is operated by:,A. Gwadar Port Authority,B. Port of Singapore Authority,C. China Overseas Port Holding Company,D. None of these,C. China Overseas Port Holding Company
Who is the author of “Pakistan: A Modern History”?,A. Anatol Lieven,B. Ian Talbot,C. Lawrence Ziring,D. None of these,B. Ian Talbot
The Geneva Accords were signed on:,"A. 14 May, 1988","B. 14th April, 1988","C. 14th June, 1988",D. None of these,"B. 14th April, 1988"
Pakistan and Tajikistan are separated by:,A. Durand Line,B. Wakhan Corridor,C. Amu Darya,D. None of these,B. Wakhan Corridor
The Strategic Arms Limitation Treaty (SALT-I) was signed in:,A. 1973,B. 1971,C. 1972,D. None of these,C. 1972
NATO was formed in:,A. 1948,B. 1949,C. 1950,D. None of these,B. 1949
The Second World War began with Germany’s attack on:,A. Austria,B. Poland,C. Russia,D. None of these,B. Poland
The Covid-19 was officially declared a global pandemic by the WHO in: ____________?,A. January 2020,B. March 2020,C. May 2020,D. None of these,B. March 2020
Which forced United States to join World War II?,A. The Invasion of Poland,B. Attack on Pearl Harbour,C. The D-Day Invasion,D. None of these,B. Attack on Pearl Harbour
Which European country is known as the “Land of Thousand Lakes”?,A. Norway,B. Iceland,C. Finland,D. None of these,C. Finland
British constitution can be amended through ______ majority.,A. Two-Third,B. Three-Fourth,C. One-Two,D. None of these,D. None of these
The Book ‘Pakistan’s Security and The India-US Strategic Partnership’ was written by:,A. Hassan Askari,B. Zafar Nawaz Jaspal,C. Shahid Bukhari,D. None of these,C. Shahid Bukhari
The Book ‘Pakistan Political and Constitutional Engineering’ was written by:,A. Hassan Askari,B. Ilhan Niaz,C. Mahboob Ahmad,D. None of these,A. Hassan Askari
When did Dr. Muhammad Yunus won the Nobel Prize?,A. 1996,B. 2006,C. 2009,D. None of these,B. 2006
Which one is the fastest sinking city in the world_________?,A. Manila,B. Shanghai,C. Jakarta,D. New Delhi,C. Jakarta
Which country hosted the Champion trophy 2025?,A. Pakistan,B. India,C. Australia,D. England,A. Pakistan
The first camel hospital of the world is situated in the city of __________?,A. Karachi,B. Dubai,C. Dhaka,D. Tokyo,B. Dubai
Warsaw pact was signed in __________ year?,A. 1950,B. 1955,C. 1960,D. 1965,B. 1955
Who was the first scientist to successfully measure the speed of light using observations of Jupiter’s moon Io?,A. Galileo Galilei,B. Isaac Newton,C. Ole Rømer,D. Albert Einstein,C. Ole Rømer
The Doha agreement was signed between US and Taliban in: _________?,A. February 2020,B. January2020,C. March 2020,D. April 2020,A. February 2020
World war II was outbreak due to the attack of Germany on ____________?,A. France,B. Canada,C. Poland,D. Russia,C. Poland
When was second OIC Summit Conference held?,A. 1974,B. 1977,C. 1979,D. None above,A. 1974
Pakistan officially joined the United Nations (UN) on ___________?,A. 30 October 1947,B. 30 September 1947,C. 30 August 1947,D. 30 March 1948,B. 30 September 1947
Socrates was born in: _______________?,A. 469 BC,B. 569 BC,C. 500 BC,D. 369 BC,A. 469 BC
What country used a tank first?,A. UK,B. USA,C. India,D. France,A. UK
Who was the viceroy of India during the WWII?,A. Louis Francis Albert Victor Nicholas Mountbatten,"B. Victor Alexander John Hope, Marquess of Linlithgow","C. Major Freeman Freeman-Thomas, Marquess of Willingdon","D. Frederic John Napier Thesiger, Viscount Chelmsford","B. Victor Alexander John Hope, Marquess of Linlithgow"
What is the theme of World Cancer Day 2025?,A. Close the Care Gap,B. United by Unique,C. I Am and I Will,D. Together We Can,B. United by Unique
The World Cancer Day (WCD) is observed every year on_________?,A. 1st February,B. 2nd February,C. 3rd February,D. 4th February,D. 4th February
What is the Total Height of K-2 Peak ?,A. 8210 meter,B. 8410 meter,C. 8611 meter,D. 8511 meter,C. 8611 meter
Smallest Republic of the world is___________?,A. Indonesia,B. Nauru,C. Vatican,D. None of these,B. Nauru
The largest state in terms of population is___________?,A. USA,B. USSR,C. India,D. China,C. India
Ctrl +U is used for ____________________?,A. underline,B. italic,C. bold,D. none,A. underline
The Largest Producer of Electricity in the Islamic World is______________________?,A. Saudi Arabia,B. Pakistan,C. Uzbekistan,D. Turkey,A. Saudi Arabia
Warsa pact was dissolved in _____________?,A. 1991,B. 1990,C. 1980,D. 1970,A. 1991
Which species is notably found in the Arabian Sea’s waters?,A. Blue Whale,B. Green Sea Turtle,C. Dugong,D. All of the above,D. All of the above
When did the Indian Constitution come into effect?,A. 15th August 1947,B. 26th January 1950,C. 15th August 1950,D. 26th January 1947,B. 26th January 1950
Which river flows near Moenjodaro and Larkana?,A. Jhelum,B. Chenab,C. Indus,D. Ravi,C. Indus
What is Larkana widely known as _________?,A. The City of Saints,B. The City of Gardens,C. The Eden of Sindh,D. The Land of Moenjodaro,C. The Eden of Sindh
In which Olympic Games did Pakistan win its second hockey gold medal?,A. 1964 Tokyo,B. 1968 Mexico City,C. 1972 Munich,D. 1984 Los Angeles,B. 1968 Mexico City
Author of book “Hard Choices” is ___________?,A. Barack Obama,B. Hillary Clinton,C. Bill Clinton,D. Al Gore,B. Hillary Clinton
