questionText,options[0],options[1],options[2],options[3],correctAnswer
Synonym of Dank is ______________?,A. Broken,B. Damp,C. Hard,D. Demolished,B. Damp
What is the antonym of Generous?,A. Stingy,B. Kind,C. Giving,D. Helpful,A. Stingy
Take the book ___________ the table.,A. Off,B. In,C. Into,D. Out of,A. Off
Antonym of BLUSTER is: __________?,A. Bravado,B. Boast,C. Confidence,D. Meekness,D. Meekness
Antonym of CAVEAT is: __________?,A. Guarantee,B. Warning,C. Assurance,D. Disclaimer,C. Assurance
Antonym of BAROQUE is: __________?,A. Minimalist,B. Ornate,C. Classical,D. Rococo,A. Minimalist
Antonym of VELLEITY is: __________?,A. Aversion,B. Passion,C. Indifference,D. Apathy,B. Passion
Antonym of CORUSCATING is: __________?,A. Mundane,B. Tenebrous,C. Sparkling,D. Brilliant,A. Mundane
Antonym of RHUBARB is: __________?,A. Serenity,B. Cacophony,C. Harmony,D. Sweetness,C. Harmony
Antonym of KILTER is: __________?,A. Balance,B. Order,C. Harmony,D. Out-of-sync,D. Out-of-sync
Antonym of DILETTANTE is: __________?,A. Amateur,B. Connoisseur,C. Novice,D. Enthusiast,B. Connoisseur
Antonym of CONFABULATION is: __________?,A. Verification,B. Fabrication,C. Distortion,D. Exaggeration,A. Verification
Antonym of PERSPICACITY is: __________?,A. Acumen,B. Astuteness,C. Naivety,D. Intelligence,C. Naivety
Synonym of PROPINQUITY is: __________?,A. Distance,B. Closeness,C. Remoteness,D. Isolation,B. Closeness
Synonym of CROMULENT is: __________?,A. Acceptable,B. Unacceptable,C. Questionable,,A. Acceptable
Synonym of AMANUENSIS is: __________?,A. Secretary,B. Assistant,C. Clerk,D. Scribe,D. Scribe
Synonym of DESIDERIUM is: __________?,A. Craving,B. Satisfaction,C. Fulfillment,D. Contentment,A. Craving
Synonym of FINAGLE is: __________?,A. Surrender,B. Manipulate,C. Cooperate,D. Wheedle,D. Wheedle
Synonym of MACADAMIZED is: __________?,A. Graveled,B. Mudded,C. Turfed,D. Paved,D. Paved
Synonym of SIBYLLINE is: __________?,A. Enigmatic,B. Obvious,C. Transparent,D. Subtle,A. Enigmatic
Synonym of LEVITATE is: __________?,A. Sink,B. Float,C. Plod,D. Wander,B. Float
Synonym of ACCUBATION is: __________?,A. Conversation,B. Reclining,C. Ambulation,D. Occupation,B. Reclining
Synonym of the word FRABJOUS is: __________?,A. Wonderful,B. Surprising,C. Blithe,D. Gusto,A. Wonderful
Change the voice : You will be acknowledge by the Government.,A. Government will acknowledge you,B. Government was acknowledge you,C. Government is acknowledge you,D. None of these,A. Government will acknowledge you
The term Aqua means______?,A. Water,B. Marsh,C. Alloy,D. None,A. Water
The idiom a hard nut to crack means:,A. An easy question,B. A foolish search,C. A difficult problem,D. Expensive thing,C. A difficult problem
What is the phrasal meaning of carry-on?,A. To continue doing something,B. To end doing something,C. To start doing something,D. None of these,A. To continue doing something
What is an antonym of the word ‘Profusion?,A. Scarcity,B. Abundance,C. Confusion,D. None of these,A. Scarcity
What is a word similar to scarcely?,A. barely,B. certainly,C. completely,D. surely,A. barely
The Pros and Cons means:,A. Former and letter,B. Foul and Fair,C. Good and evil,D. For and against a thing,C. Good and evil
She is awaiting _______ result.,A. for,B. from,C. the,D. on,C. the
Call on means ______?,A. Doubtful,B. Prove a theory,C. Play a visit to someone,D. Summon as a witness,C. Play a visit to someone
Honey : Bee ::,A. Sparrow : Nest,B. Sonnet : Poet,C. Sculptor : Statue,D. None of these,B. Sonnet : Poet
The idiom “Kick the bucket” means?,A. To kill,B. To achieve a goal,C. To die,D. To be successful,C. To die
A bag of bones means: ____________?,A. an extremely thin person.,B. a container use to carry bones.,C. a person who has a lot of energy.,D. a type of storage for old items.,A. an extremely thin person.
Idiom To carry weight means: __________________?,A. to bewitch,B. to have trouble or grief,C. to have importance,D. to stop permanently,B. to have trouble or grief
Idiom “A bag of bones” means,A. an extremely thin person.,B. a difficult thing.,C. comfortable.,D. a big important person.,A. an extremely thin person.
